2026-06-24 15:05:35 [main] INFO  WebDriverManagerUtil - Browser closed and ThreadLocal cleared.
2026-06-24 15:05:35 [main] INFO  Hooks - Browser closed
2026-06-24 15:05:35 [main] INFO  ExtentReportManager - ExtentReport flushed → logs/reports/ExtentReport_24-06-2026_15-03-26.html
2026-06-24 15:05:35 [main] INFO  Hooks - ========== UI Test Started: Verify BTA functionality for Travel Master Admin User ==========
2026-06-24 15:05:35 [main] INFO  ExtentReportManager - Test created in ExtentReport: Verify BTA functionality for Travel Master Admin User
2026-06-24 15:05:35 [main] INFO  ExtentReportManager - Test Started
2026-06-24 15:05:35 [main] INFO  WebDriverManager - Using chromedriver 149.0.7827.155 (resolved driver for Chrome 149)
2026-06-24 15:05:35 [main] INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\V00450\.cache\selenium\chromedriver\win64\149.0.7827.155\chromedriver.exe
2026-06-24 15:05:38 [main] INFO  WebDriverManagerUtil - Browser initialized: chrome
2026-06-24 15:05:38 [main] INFO  Hooks - Browser initialized
2026-06-24 15:05:38 [main] INFO  ExtentReportManager - ✓ Browser initialized successfully
2026-06-24 15:05:40 [main] INFO  WebDriverManagerUtil - Navigated to: http://localhost:4203
2026-06-24 15:05:40 [main] INFO  BTALoginSteps - Navigated to BTA Portal
2026-06-24 15:05:41 [main] INFO  BTALoginSteps - Entered username and password
2026-06-24 15:05:41 [main] INFO  BTALoginSteps - Clicked login button
2026-06-24 15:05:41 [main] INFO  BTALoginSteps - Home page landed successfully
2026-06-24 15:05:43 [main] INFO  UiHelper - ✓ All 4 elements are successfully displayed
2026-06-24 15:05:43 [main] INFO  ExtentReportManager - ✓ ✓ All 4 elements are successfully displayed
2026-06-24 15:05:46 [main] INFO  BtaCaseManagement - Clicked the Case Management Section
2026-06-24 15:05:48 [main] INFO  UiHelper - ✓ SUCCESS MESSAGE VERIFIED: Comment submitted successfully.
2026-06-24 15:05:48 [main] INFO  ExtentReportManager - ✓ ✓ SUCCESS MESSAGE VERIFIED: Comment submitted successfully.
2026-06-24 15:05:48 [main] INFO  BtaAuditTrail - Clicked the Audit Trail Section
2026-06-24 15:05:51 [main] INFO  BtaTMCTransactions - Clicked the Large Report Section
2026-06-24 15:05:53 [main] INFO  Hooks - ========== UI Test Finished: Verify BTA functionality for Travel Master Admin User ==========
2026-06-24 15:05:53 [main] INFO  ExtentReportManager - ✓ Test PASSED: Verify BTA functionality for Travel Master Admin User
2026-06-24 15:05:56 [main] INFO  WebDriverManagerUtil - Browser closed and ThreadLocal cleared.
2026-06-24 15:05:56 [main] INFO  Hooks - Browser closed
2026-06-24 15:05:56 [main] INFO  ExtentReportManager - ExtentReport flushed → logs/reports/ExtentReport_24-06-2026_15-03-26.html
2026-06-24 15:05:56 [main] INFO  Hooks - ========== UI Test Started: Verify BTA functionality for Travel Agent Sub Admin User ==========
2026-06-24 15:05:56 [main] INFO  ExtentReportManager - Test created in ExtentReport: Verify BTA functionality for Travel Agent Sub Admin User
2026-06-24 15:05:56 [main] INFO  ExtentReportManager - Test Started
2026-06-24 15:05:56 [main] INFO  WebDriverManager - Using chromedriver 149.0.7827.155 (resolved driver for Chrome 149)
2026-06-24 15:05:56 [main] INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\V00450\.cache\selenium\chromedriver\win64\149.0.7827.155\chromedriver.exe
2026-06-24 15:05:59 [main] INFO  WebDriverManagerUtil - Browser initialized: chrome
2026-06-24 15:05:59 [main] INFO  Hooks - Browser initialized
2026-06-24 15:05:59 [main] INFO  ExtentReportManager - ✓ Browser initialized successfully
2026-06-24 15:06:01 [main] INFO  WebDriverManagerUtil - Navigated to: http://localhost:4203
2026-06-24 15:06:01 [main] INFO  BTALoginSteps - Navigated to BTA Portal
2026-06-24 15:06:02 [main] INFO  BTALoginSteps - Entered username and password
